Day,Cash On Hand
11,406680
12,295748
13,263840
14,522899
15,212806
16,304922
17,101383
18,293139
19,200864
20,295001
21,263060
22,18498
23,147971
24,449863
25,208680
26,360116
27,446233
28,744605
29,295066
30,372073
31,218578
32,354155
33,835463
34,53590
35,724083
36,433224
37,535886
38,79107
39,1440578
40,1577395
41,1746504
42,1922620
43,2085808
44,3327154
45,4251009
46,3503778
47,3243840
48,3382117
49,3698594
50,3886977
51,4050453
52,5654003
53,6349893
54,6428404
55,6459267
56,6231658
57,3316782
58,4187208
59,4882720
60,6604187
61,6113935
62,6026659
63,5427577
64,5104443
65,5962717
66,7156332
67,7373556
68,7564928
69,7736034
70,8079366
71,8419467
72,9130499
73,12148859
74,10484236
75,10313746
76,10363430
77,8864695
78,8922691
79,9106080
80,9203214
81,12258753
82,10398821
83,10548403
84,10715058
85,9542609
86,12311312
87,13073961
88,13745071
89,14793830
90,14736902
